,PE_TTM,DIVIDENDYIELD2,CLOSE
2023-04-18,6.016200065612793,7.101,2734.53
2023-04-19,5.958600044250488,7.1983,2708.23
2023-04-20,5.94320011138916,7.1996,2708.78
2023-04-21,5.894599914550781,7.2501,2687.45
2023-04-24,5.864099979400635,7.2848,2674.08
2023-04-25,5.851099967956543,7.3109,2661.19
2023-04-26,5.8454999923706055,7.3004,2671.45
2023-04-27,5.867899894714356,7.2533,2688.41
2023-04-28,5.867700099945068,7.2198,2706.62
2023-05-04,5.912199974060059,7.1835,2727.75
2023-05-05,5.965700149536133,7.1165,2753.81
2023-05-08,6.14330005645752,6.9342,2829.59
2023-05-09,6.089200019836426,7.0137,2803.78
2023-05-10,5.991799831390381,7.1109,2762.42
2023-05-11,5.953999996185303,7.1573,2743.47
2023-05-12,5.84119987487793,7.2959,2692.42
2023-05-15,5.920899868011475,7.207,2730.95
2023-05-16,5.901700019836426,7.2639,2720.29
2023-05-17,5.787799835205078,7.3897,2664.1
2023-05-18,5.8871002197265625,7.2817,2703.46
2023-05-19,5.840000152587891,7.3204,2679.56
2023-05-22,5.877600193023682,7.2156,2695.69
2023-05-23,5.804900169372559,7.3894,2661.57
2023-05-24,5.691199779510498,7.5553,2609.64
2023-05-25,5.604499816894531,7.6225,2568.38
2023-05-26,5.604499816894531,6.8337,2568.38
2023-05-29,5.594200134277344,6.8417,2560.54
2023-05-30,5.566100120544434,6.9808,2548.83
2023-05-31,5.439300060272217,7.0816,2492.38
2023-06-01,5.412300109863281,6.9726,2479.0
2023-06-02,5.543000221252441,6.7311,2549.93
2023-06-05,5.672999858856201,6.6065,2562.27
2023-06-06,5.70389986038208,6.5701,2580.53
2023-06-07,5.693900108337402,7.2942,2579.6
2023-06-08,5.73420000076294,7.8106,2591.42
2023-06-09,5.77899980545044,7.9583,2604.05
2023-06-12,5.7316999435424805,7.1759,2584.0
2023-06-13,5.677800178527832,7.2683,2567.16
2023-06-14,5.630099773406982,7.3349,2549.56
2023-06-15,5.683499813079834,7.2726,2573.57
2023-06-16,5.713399887084961,7.2671,2586.2
2023-06-19,5.703999996185303,7.0661,2579.23
2023-06-20,5.618899822235107,7.2237,2540.26
2023-06-21,5.540299892425537,7.2448,2501.35
2023-06-26,5.437300205230713,7.3772,2449.85
2023-06-27,5.519800186157227,7.2658,2494.36
2023-06-28,5.526700019836426,7.2332,2497.25
2023-06-29,5.479400157928467,7.2784,2476.21
2023-06-30,5.520500183105469,5.484,2495.42
2023-07-03,5.614999771118164,5.4194,2533.49
2023-07-04,5.615600109100342,5.4147,2538.22
2023-07-05,5.530200004577637,5.0721,2499.29
2023-07-06,5.27839994430542,7.8239,2396.73
2023-07-07,5.2220001220703125,7.82,2369.82
2023-07-10,5.215000152587891,7.4368,2364.39
2023-07-11,5.223999977111816,7.4402,2369.87
2023-07-12,5.244200229644775,7.4159,2379.38
2023-07-13,5.332300186157227,7.3161,2419.68
2023-07-14,5.379099845886231,7.2567,2436.91
2023-07-17,5.379099845886231,7.2567,2436.91
2023-07-18,5.27899980545044,7.3955,2389.63
2023-07-19,5.293099880218506,7.374,2392.6
2023-07-20,5.288300037384033,7.3637,2391.74
2023-07-21,5.329400062561035,7.3131,2406.1
2023-07-24,5.240200042724609,7.4391,2362.23
2023-07-25,5.40399980545044,7.2045,2446.32
2023-07-26,5.377299785614014,7.236,2435.35
2023-07-27,5.4141998291015625,7.1757,2455.6
2023-07-28,5.467700004577637,7.1186,2483.04
2023-07-31,5.493800163269043,7.0979,2497.64
