,PE_TTM,DIVIDENDYIELD2,CLOSE
2024-10-08,49.2963981628418,1.0523,1942.15
2024-10-09,48.158599853515625,1.0808,1882.65
2024-10-10,48.71099853515625,1.0637,1899.96
2024-10-11,48.71099853515625,1.0637,1899.96
2024-10-14,46.93299865722656,1.1001,1835.48
2024-10-15,45.30229949951172,1.1343,1778.73
2024-10-16,44.92470169067383,1.1445,1772.74
2024-10-17,44.6509017944336,1.1428,1772.21
2024-10-18,46.95370101928711,1.0848,1866.98
2024-10-21,46.38119888305664,1.1,1837.84
2024-10-22,46.4005012512207,1.1,1838.82
2024-10-23,47.02429962158203,1.0862,1875.13
2024-10-24,45.67879867553711,1.1157,1822.65
2024-10-25,46.9995002746582,1.089,1882.33
2024-10-28,47.07929992675781,1.1067,1852.42
2024-10-29,46.41899871826172,1.1167,1830.01
2024-10-30,44.86249923706055,1.158,1778.46
2024-10-31,44.05839920043945,1.3882,1739.78
2024-11-01,44.1703987121582,1.3872,1762.4
2024-11-04,44.75379943847656,1.3665,1798.2
2024-11-05,45.44969940185547,1.3556,1821.72
2024-11-06,45.04859924316406,1.3749,1791.57
2024-11-07,45.27859878540039,1.3716,1794.91
2024-11-08,45.02470016479492,1.3777,1799.92
2024-11-11,44.7401008605957,1.3836,1802.28
2024-11-12,48.55989837646485,1.3903,1794.21
2024-11-13,47.29750061035156,1.425,1741.28
2024-11-14,46.27790069580078,1.4385,1710.46
2024-11-15,47.35960006713867,1.4487,1699.7
2024-11-18,46.59239959716797,1.4764,1658.65
2024-11-19,46.69340133666992,1.4736,1662.89
2024-11-20,48.37369918823242,1.4164,1737.47
2024-11-21,47.99599838256836,1.4223,1727.2
2024-11-22,46.53060150146485,1.4597,1673.34
2024-11-25,46.97200012207031,1.4421,1703.29
2024-11-26,46.98609924316406,1.4389,1706.54
2024-11-27,48.61299896240234,1.3971,1758.62
2024-11-28,47.794898986816406,1.4203,1724.17
2024-11-29,48.4093017578125,1.4118,1734.38
2024-12-02,48.77320098876953,1.4045,1749.02
2024-12-03,49.62979888916016,1.381,1777.83
2024-12-04,49.25820159912109,1.3896,1752.22
2024-12-05,48.45000076293945,1.412,1720.88
2024-12-06,49.59799957275391,1.3924,1748.43
2024-12-09,51.30609893798828,1.3514,1800.81
2024-12-10,49.75360107421875,1.3895,1750.0
2024-12-11,49.6234016418457,1.3909,1746.59
2024-12-12,49.447601318359375,1.3924,1742.12
2024-12-13,48.37799835205078,1.4256,1699.56
2024-12-16,47.38629913330078,1.4559,1658.35
2024-12-17,47.27439880371094,1.4586,1655.47
2024-12-18,48.173301696777344,1.4278,1680.94
2024-12-19,47.59939956665039,1.4438,1656.52
2024-12-20,47.24549865722656,1.4575,1641.74
2024-12-23,47.367000579833984,1.4564,1643.14
2024-12-24,47.75659942626953,1.4423,1655.99
2024-12-25,47.73360061645508,1.4423,1655.99
2024-12-26,47.73360061645508,1.4423,1655.99
2024-12-27,47.24729919433594,1.453,1641.21
2024-12-30,47.75199890136719,1.4465,1655.96
2024-12-31,47.80759811401367,1.4429,1662.12
2025-01-02,46.387298583984375,1.483,1612.69
2025-01-03,46.1348991394043,1.4919,1607.14
2025-01-06,45.95859909057617,1.4964,1607.14
2025-01-07,45.44889831542969,1.512,1595.8
2025-01-08,44.78260040283203,1.5361,1562.49
2025-01-09,45.48849868774414,1.5197,1575.91
2025-01-10,45.08760070800781,1.5364,1560.28
2025-01-13,44.43330001831055,1.5583,1544.39
2025-01-14,45.74829864501953,1.5225,1585.2
2025-01-15,45.21390151977539,1.5413,1559.52
2025-01-16,45.32160186767578,1.5419,1556.99
2025-01-17,45.87519836425781,1.5176,1592.55
2025-01-20,46.95589828491211,1.4939,1617.41
2025-01-21,47.06209945678711,1.4921,1619.18
2025-01-22,47.0807991027832,1.4859,1623.25
2025-01-23,46.764198303222656,1.4985,1608.34
2025-01-24,47.50279998779297,1.4772,1635.49
2025-01-27,47.792701721191406,1.4688,1644.34
2025-02-05,48.38639831542969,1.4532,1656.18
2025-02-06,50.23509979248047,1.3962,1733.29
2025-02-07,50.122501373291016,1.3951,1737.0
2025-02-10,50.76750183105469,1.374,1755.54
2025-02-11,49.750099182128906,1.4043,1717.53
2025-02-12,49.70690155029297,1.4116,1715.11
2025-02-13,48.7672004699707,1.4336,1694.65
2025-02-14,52.08399963378906,1.3514,1810.59
2025-02-17,52.7056999206543,1.335,1832.47
2025-02-18,53.47119903564453,1.3136,1865.49
2025-02-19,54.1067008972168,1.2899,1885.42
2025-02-20,54.71580123901367,1.2813,1895.22
2025-02-21,58.09149932861328,1.2131,2014.71
2025-02-24,55.94720077514648,1.2476,1964.53
2025-02-25,55.7671012878418,1.247,1967.33
2025-02-26,57.4463005065918,1.2137,2034.47
2025-02-27,53.909698486328125,1.2037,2066.09
2025-02-28,51.84930038452149,1.258,1978.43
2025-03-03,51.17770004272461,1.2725,1956.69
2025-03-04,50.9828987121582,1.2733,1944.1
2025-03-05,52.10810089111328,1.2432,1989.06
2025-03-06,53.03060150146485,1.2245,2011.6
2025-03-07,53.09349822998047,1.2206,2018.93
2025-03-10,46.88940048217773,1.3503,1973.18
2025-03-11,42.82770156860352,1.357,2002.19
2025-03-12,24.69580078125,1.3691,1981.64
2025-03-13,24.704700469970703,1.3707,1981.67
2025-03-14,25.61899948120117,1.3203,2063.78
2025-03-17,25.60860061645508,1.3209,2061.56
2025-03-18,26.536699295043945,1.2843,2117.96
2025-03-19,26.474199295043945,1.2666,2146.4
2025-03-20,26.99880027770996,1.2559,2168.32
2025-03-21,26.202899932861328,1.3076,2072.67
2025-03-24,25.111799240112305,1.3119,2060.23
2025-03-25,23.97649955749512,1.3353,2026.0
2025-03-26,23.60009956359864,1.3286,2032.82
2025-03-27,24.95829963684082,1.264,2150.99
2025-03-28,26.056299209594727,1.24,2201.32
2025-03-31,26.08209991455078,1.2404,2191.63
2025-04-01,26.945199966430664,1.1963,2289.25
2025-04-02,26.72620010375977,1.2028,2279.99
2025-04-03,26.21380043029785,1.221,2254.49
2025-04-07,21.119400024414062,1.5099,1784.57
2025-04-08,21.70240020751953,1.4607,1849.08
2025-04-09,21.899200439453125,1.4404,1868.98
2025-04-10,22.43630027770996,1.4076,1916.38
2025-04-11,23.29899978637696,1.3522,2015.19
